Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,3910,"3,910.00","3,910.00","3,885.10",540.07K,0.64%
1/3/2014,3934.9,"3,910.00","3,934.90","3,885.10",362.50K,0.64%
1/6/2014,3910,"3,885.10","3,934.90","3,885.10",698.17K,-0.63%
1/7/2014,3959.8,"3,934.90","4,009.60","3,910.00",561.84K,1.27%
1/8/2014,3934.9,"3,959.80","3,959.80","3,586.20",216.25K,-0.63%
1/9/2014,3959.8,"3,910.00","3,959.80","3,910.00",266.15K,0.63%
1/10/2014,3984.7,"3,959.80","4,034.50","3,934.90",589.03K,0.63%
1/13/2014,3959.8,"3,959.80","4,009.60","3,934.90",100.10K,-0.62%
1/14/2014,4034.5,"3,959.80","4,034.50","3,934.90",728.38K,1.89%
1/15/2014,4034.5,"3,934.90","4,059.40","3,934.90",514.85K,0.00%
1/16/2014,4009.6,"4,034.50","4,059.40","3,984.70",377.60K,-0.62%
1/17/2014,4109.2,"4,009.60","4,134.10","3,984.70",1.25M,2.48%
1/20/2014,4084.3,"4,109.20","4,134.10","4,059.40",950.29K,-0.61%
1/21/2014,4009.6,"4,059.40","4,084.30","4,009.60",531.58K,-1.83%
1/22/2014,4009.6,"4,009.60","4,034.50","4,009.60",638.84K,0.00%
1/23/2014,4009.6,"4,034.50","4,059.40","4,009.60",167.09K,0.00%
1/24/2014,4034.5,"4,009.60","4,059.40","4,009.60",292.89K,0.62%
1/27/2014,4034.5,"4,034.50","4,034.50","4,009.60",224.54K,0.00%
2/6/2014,4034.5,"4,034.50","4,034.50","4,009.60",143.78K,0.00%
2/7/2014,4034.5,"4,034.50","4,059.40","4,009.60",296.68K,0.00%
2/10/2014,4034.5,"4,034.50","4,059.40","4,009.60",2.03M,0.00%
2/11/2014,4059.4,"4,034.50","4,059.40","4,009.60",1.74M,0.62%
2/12/2014,4084.3,"4,034.50","4,109.20","4,034.50",549.34K,0.61%
2/13/2014,4109.2,"4,109.20","4,134.10","4,034.50",584.40K,0.61%
2/14/2014,4109.2,"4,109.20","4,134.10","4,034.50",654.26K,0.00%
2/17/2014,4009.6,"4,084.30","4,084.30","3,984.70",1.96M,-2.42%
2/18/2014,4009.6,"4,009.60","4,034.50","3,984.70",2.12M,0.00%
2/19/2014,4009.6,"4,009.60","4,034.50","3,984.70",1.63M,0.00%
2/20/2014,3984.7,"4,009.60","4,059.40","3,984.70",1.07M,-0.62%
2/21/2014,4009.6,"4,009.60","4,009.60","3,984.70",507.22K,0.62%
2/24/2014,4009.6,"3,984.70","4,009.60","3,611.10",520.59K,0.00%
2/25/2014,4009.6,"4,009.60","4,034.50","3,984.70",873.31K,0.00%
2/26/2014,4059.4,"3,984.70","4,059.40","3,984.70",2.40M,1.24%
2/27/2014,4308.5,"4,059.40","4,457.90","4,034.50",5.57M,6.14%
2/28/2014,4258.6,"4,308.50","4,383.20","4,208.80",1.39M,-1.16%
3/3/2014,4159,"4,258.60","4,258.60","4,159.00",1.12M,-2.34%
3/4/2014,4134.1,"4,109.20","4,159.00","4,059.40",989.21K,-0.60%
3/5/2014,4134.1,"4,134.10","4,183.90","4,109.20",769.09K,0.00%
3/6/2014,4134.1,"4,408.10","4,433.00","4,109.20",1.77M,0.00%
3/7/2014,4134.1,"4,134.10","4,233.70","4,109.20",789.21K,0.00%
3/10/2014,4109.2,"4,109.20","4,159.00","4,109.20",785.66K,-0.60%
3/11/2014,4109.2,"4,109.20","4,134.10","4,084.30",1.18M,0.00%
3/12/2014,4084.3,"4,109.20","4,134.10","4,084.30",779.28K,-0.61%
3/13/2014,4109.2,"4,084.30","4,109.20","4,084.30",1.14M,0.61%
3/14/2014,4109.2,"4,109.20","4,109.20","4,084.30",1.82M,0.00%
3/17/2014,4134.1,"4,109.20","4,134.10","4,084.30",2.68M,0.61%
3/18/2014,4258.6,"4,134.10","4,283.60","4,134.10",2.40M,3.01%
3/19/2014,4358.3,"4,283.60","4,358.30","4,183.90",2.25M,2.34%
3/20/2014,4333.4,"4,283.60","4,358.30","4,283.60",1.66M,-0.57%
3/21/2014,4308.5,"4,283.60","4,358.30","4,134.10",1.49M,-0.57%
3/24/2014,4358.3,"4,333.40","4,358.30","4,258.60",2.08M,1.16%
3/25/2014,4308.5,"4,358.30","4,358.30","4,283.60",1.85M,-1.14%
3/26/2014,4233.7,"4,308.50","4,308.50","4,233.70",2.15M,-1.74%
3/27/2014,4233.7,"4,159.00","4,258.60","4,159.00",1.09M,0.00%
3/28/2014,4258.6,"4,258.60","4,258.60","4,208.80",422.77K,0.59%
3/31/2014,4258.6,"4,258.60","4,258.60","4,233.70",734.07K,0.00%
4/1/2014,4208.8,"4,233.70","4,258.60","4,208.80",1.92M,-1.17%
4/2/2014,4183.9,"4,183.90","4,208.80","4,159.00",1.25M,-0.59%
4/3/2014,4283.6,"4,208.80","4,283.60","4,183.90",959.20K,2.38%
4/4/2014,4258.6,"4,233.70","4,283.60","4,233.70",555.14K,-0.58%
4/7/2014,4208.8,"4,159.00","4,258.60","4,134.10",175.38K,-1.17%
4/8/2014,4183.9,"4,233.70","4,233.70","3,810.40",187.49K,-0.59%
4/10/2014,4208.8,"4,183.90","4,233.70","4,183.90",246.85K,0.60%
4/11/2014,4208.8,"4,208.80","4,233.70","4,183.90",1.60M,0.00%
4/14/2014,4258.6,"4,233.70","4,258.60","4,183.90",829.52K,1.18%
