Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,24450,"23,950.00","24,750.00","23,950.00",13.88M,2.30%
1/3/2024,25000,"24,500.00","25,000.00","24,250.00",9.80M,2.25%
1/4/2024,25300,"25,200.00","25,650.00","25,100.00",23.59M,1.20%
1/5/2024,25450,"25,300.00","25,450.00","25,050.00",9.27M,0.59%
1/8/2024,25350,"25,700.00","25,750.00","25,200.00",12.39M,-0.39%
1/9/2024,25000,"25,250.00","25,350.00","24,950.00",15.45M,-1.38%
1/10/2024,25250,"25,200.00","25,500.00","25,000.00",17.60M,1.00%
1/11/2024,25250,"25,400.00","25,750.00","25,150.00",9.93M,0.00%
1/12/2024,25800,"25,150.00","26,200.00","25,050.00",25.56M,2.18%
1/15/2024,25300,"26,000.00","26,000.00","25,300.00",11.72M,-1.94%
1/16/2024,25400,"25,400.00","25,550.00","25,050.00",12.38M,0.40%
1/17/2024,25400,"25,450.00","25,800.00","25,350.00",9.71M,0.00%
1/18/2024,25600,"25,450.00","25,750.00","25,350.00",9.61M,0.79%
1/19/2024,25950,"25,800.00","25,950.00","25,650.00",12.77M,1.37%
1/22/2024,26300,"26,200.00","26,300.00","25,800.00",12.00M,1.35%
1/23/2024,26050,"26,250.00","26,450.00","26,050.00",11.73M,-0.95%
1/24/2024,25800,"26,050.00","26,100.00","25,700.00",11.34M,-0.96%
1/25/2024,25800,"25,850.00","25,900.00","25,600.00",5.09M,0.00%
1/26/2024,26300,"25,850.00","26,400.00","25,850.00",6.86M,1.94%
1/29/2024,25950,"26,500.00","26,500.00","25,950.00",9.28M,-1.33%
1/30/2024,25950,"26,050.00","26,200.00","25,900.00",6.38M,0.00%
1/31/2024,25750,"26,100.00","26,100.00","25,550.00",12.16M,-0.77%
2/1/2024,26000,"25,700.00","26,100.00","25,700.00",6.28M,0.97%
2/2/2024,26250,"25,950.00","26,300.00","25,850.00",14.53M,0.96%
2/5/2024,27800,"26,250.00","28,000.00","26,150.00",28.12M,5.90%
2/6/2024,27850,"27,850.00","27,900.00","27,650.00",5.45M,0.18%
2/7/2024,28000,"27,850.00","28,200.00","27,850.00",11.89M,0.54%
2/15/2024,27200,"28,050.00","28,400.00","27,200.00",14.24M,-2.86%
2/16/2024,27600,"27,500.00","27,600.00","27,300.00",9.50M,1.47%
2/19/2024,27700,"27,700.00","27,700.00","27,200.00",11.86M,0.36%
2/20/2024,27550,"27,500.00","27,750.00","27,350.00",7.32M,-0.54%
2/21/2024,27700,"27,500.00","27,900.00","27,400.00",10.25M,0.54%
2/22/2024,27650,"27,700.00","27,750.00","27,500.00",7.40M,-0.18%
2/23/2024,27500,"27,700.00","28,400.00","27,300.00",25.98M,-0.54%
2/26/2024,27500,"27,300.00","27,700.00","27,100.00",9.79M,0.00%
2/27/2024,27600,"27,700.00","27,700.00","27,350.00",12.05M,0.36%
2/28/2024,28000,"27,650.00","28,000.00","27,550.00",10.46M,1.45%
2/29/2024,28000,"28,100.00","28,250.00","27,700.00",9.95M,0.00%
3/1/2024,27800,"28,000.00","28,000.00","27,550.00",10.19M,-0.71%
3/4/2024,27800,"27,800.00","28,200.00","27,400.00",13.22M,0.00%
3/5/2024,27950,"27,800.00","28,000.00","27,550.00",6.33M,0.54%
3/6/2024,27700,"28,000.00","28,150.00","27,550.00",7.06M,-0.89%
3/7/2024,27500,"27,600.00","27,700.00","27,400.00",10.17M,-0.72%
3/8/2024,27050,"27,500.00","27,650.00","27,000.00",23.02M,-1.64%
3/11/2024,26750,"27,050.00","27,100.00","26,650.00",12.02M,-1.11%
3/12/2024,26750,"26,650.00","26,850.00","26,600.00",8.31M,0.00%
3/13/2024,27650,"26,750.00","27,650.00","26,750.00",8.94M,3.36%
3/14/2024,27250,"27,600.00","27,600.00","27,050.00",8.22M,-1.45%
3/15/2024,27350,"27,250.00","27,400.00","27,000.00",7.82M,0.37%
