Date,Price,Open,High,Low,Vol.,Change %
11/22/2016,38990,"38,990","38,990","38,990",642.22K,14.86%
11/23/2016,42676,"44,810","44,810","41,221",3.22M,9.45%
11/24/2016,39087,"43,840","43,840","38,311",1.44M,-8.41%
11/25/2016,39572,"38,990","39,669","35,887",1.02M,1.24%
11/28/2016,41124,"39,766","43,355","38,311",1.30M,3.92%
11/29/2016,39766,"41,318","42,191","39,766",349.43K,-3.30%
11/30/2016,40542,"39,766","40,542","38,990",743.60K,1.95%
12/1/2016,39669,"39,863","40,251","39,281",881.85K,-2.15%
12/2/2016,39863,"39,766","40,057","39,572",880.86K,0.49%
12/5/2016,39766,"39,863","40,057","39,281",606.65K,-0.24%
12/6/2016,39669,"39,766","39,766","39,378",593.60K,-0.24%
12/7/2016,39378,"39,087","39,572","38,990",383.30K,-0.73%
12/8/2016,39863,"38,990","40,057","38,990",377.60K,1.23%
12/9/2016,40542,"39,766","40,542","39,669",439.76K,1.70%
12/12/2016,39960,"34,141","40,542","34,141",382.13K,-1.44%
12/13/2016,40833,"39,669","40,930","39,378",525.49K,2.18%
12/14/2016,43258,"41,027","43,549","41,027",688.39K,5.94%
12/15/2016,45198,"43,258","46,459","43,161",474.78K,4.48%
12/16/2016,51114,"45,198","51,405","45,198",1.01M,13.09%
12/19/2016,48495,"51,405","54,315","47,234",556.03K,-5.12%
12/20/2016,47234,"48,495","48,689","46,653",520.22K,-2.60%
12/21/2016,46168,"47,040","47,622","45,392",369.14K,-2.26%
12/22/2016,48495,"44,616","48,689","44,616",503.66K,5.04%
12/23/2016,48010,"49,950","49,950","47,622",241.00K,-1.00%
12/26/2016,48107,"48,010","48,980","47,816",227.91K,0.20%
12/27/2016,45489,"48,495","48,495","45,101",516.12K,-5.44%
12/28/2016,47040,"46,459","48,301","46,459",343.38K,3.41%
12/29/2016,47525,"47,040","48,010","46,653",245.16K,1.03%
12/30/2016,47137,"47,040","47,816","46,362",382.18K,-0.82%
1/3/2017,46168,"47,040","47,040","45,586",176.75K,-2.06%
1/4/2017,47234,"46,556","47,525","46,556",326.76K,2.31%
1/5/2017,46653,"47,234","47,913","46,362",160.96K,-1.23%
1/6/2017,46556,"46,653","46,846","46,168",279.88K,-0.21%
1/9/2017,46653,"46,556","47,331","45,586",173.89K,0.21%
1/10/2017,46750,"46,556","47,428","46,556",182.36K,0.21%
1/11/2017,47137,"46,846","47,137","46,556",176.55K,0.83%
1/12/2017,48107,"47,331","49,659","47,040",575.09K,2.06%
1/13/2017,48107,"48,107","48,398","48,010",270.97K,0.00%
1/16/2017,47525,"48,010","48,301","47,234",290.80K,-1.21%
1/17/2017,46653,"47,234","47,331","46,168",261.70K,-1.83%
1/18/2017,47428,"46,556","47,525","46,362",225.10K,1.66%
1/19/2017,47525,"46,750","47,719","46,750",163.70K,0.20%
1/20/2017,47040,"47,331","47,525","47,040",182.70K,-1.02%
1/23/2017,47622,"47,040","48,010","46,556",216.14K,1.24%
1/24/2017,48398,"47,234","48,883","47,234",543.72K,1.63%
1/25/2017,48398,"48,495","49,465","47,913",109.60K,0.00%
2/2/2017,48592,"48,398","48,786","48,010",191.70K,0.40%
2/3/2017,48980,"48,980","50,047","48,689",766.67K,0.80%
