Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,63900,"63,500","65,600","63,500",141.96K,-3.18%
1/3/2024,65800,"64,400","66,500","64,000",150.08K,2.97%
1/4/2024,65200,"65,600","66,200","65,000",195.73K,-0.91%
1/5/2024,65400,"65,600","65,900","64,600",107.12K,0.31%
1/8/2024,65400,"64,800","66,000","64,400",124.21K,0.00%
1/9/2024,65600,"65,400","66,800","65,200",220.69K,0.31%
1/10/2024,65300,"66,000","66,000","65,200",84.48K,-0.46%
1/11/2024,65000,"65,500","66,000","64,800",190.67K,-0.46%
1/12/2024,64500,"65,100","65,100","64,100",135.89K,-0.77%
1/15/2024,64200,"64,500","65,000","64,200",107.89K,-0.47%
1/16/2024,64300,"64,600","64,600","63,500",120.51K,0.16%
1/17/2024,65700,"64,300","65,800","64,100",122.59K,2.18%
1/18/2024,65100,"65,600","65,600","64,500",82.23K,-0.91%
1/19/2024,66500,"65,500","66,600","65,200",163.27K,2.15%
1/22/2024,65700,"66,500","66,800","65,600",117.62K,-1.20%
1/23/2024,65900,"65,700","66,000","65,300",112.61K,0.30%
1/24/2024,66300,"65,500","66,500","65,200",139.45K,0.61%
1/25/2024,69100,"66,300","69,600","65,600",364.41K,4.22%
1/26/2024,72000,"68,500","72,000","68,500",409.92K,4.20%
1/29/2024,69700,"72,000","72,000","69,600",202.44K,-3.19%
1/30/2024,72200,"70,900","73,700","70,300",413.70K,3.59%
1/31/2024,77400,"71,900","79,500","71,900",785.99K,7.20%
2/1/2024,78400,"77,000","79,300","75,900",438.14K,1.29%
2/2/2024,77800,"77,800","80,000","75,900",443.21K,-0.77%
2/5/2024,80900,"77,000","81,000","77,000",410.13K,3.98%
2/6/2024,80500,"80,900","81,700","79,000",181.91K,-0.49%
2/7/2024,79900,"80,100","82,000","79,000",201.12K,-0.75%
2/15/2024,80000,"80,000","84,000","79,300",193.29K,0.13%
2/16/2024,82500,"80,000","83,000","79,200",426.70K,3.13%
2/19/2024,81600,"82,400","83,500","81,000",224.62K,-1.09%
2/20/2024,82000,"82,000","82,800","80,200",261.51K,0.49%
2/21/2024,83500,"81,800","83,500","80,800",461.23K,1.83%
2/22/2024,83000,"83,000","84,800","81,900",208.42K,-0.60%
2/23/2024,81500,"83,000","84,000","81,000",290.49K,-1.81%
2/26/2024,81100,"81,500","82,000","79,900",180.81K,-0.49%
2/27/2024,82500,"81,000","84,000","81,000",390.96K,1.73%
2/28/2024,83600,"82,300","84,000","81,500",262.07K,1.33%
2/29/2024,83200,"82,600","84,000","81,800",218.62K,-0.48%
3/1/2024,83800,"82,500","83,800","81,900",204.01K,0.72%
3/4/2024,86000,"83,500","86,500","83,200",662.59K,2.63%
3/5/2024,85500,"86,500","88,000","85,200",160.69K,-0.58%
3/6/2024,84900,"86,000","86,000","83,500",279.24K,-0.70%
3/7/2024,84400,"84,500","85,500","83,500",341.25K,-0.59%
3/8/2024,84200,"85,400","86,300","82,800",281.53K,-0.24%
3/11/2024,84100,"84,500","84,900","83,000",225.52K,-0.12%
3/12/2024,86500,"83,000","87,500","82,700",804.55K,2.85%
3/13/2024,90000,"86,500","90,000","86,500",650.77K,4.05%
3/14/2024,89500,"90,000","90,000","88,200",192.42K,-0.56%
3/15/2024,89400,"88,000","92,000","88,000",413.42K,-0.11%
