Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,10072.8,"10,134.20","10,134.20","10,011.40",201.89K,1.24%
1/3/2014,10011.4,"10,072.80","10,072.80","9,888.50",523.56K,-0.61%
1/6/2014,9949.9,"10,072.80","10,072.80","9,949.90",417.63K,-0.61%
1/7/2014,10134.2,"10,195.60","10,379.90","10,134.20",1.99M,1.85%
1/8/2014,10072.8,"10,195.60","10,195.60","10,011.40",1.11M,-0.61%
1/9/2014,10011.4,"10,011.40","10,072.80","10,011.40",824.75K,-0.61%
1/10/2014,9949.9,"9,949.90","10,072.80","9,949.90",2.02M,-0.61%
1/13/2014,9949.9,"9,949.90","10,011.40","9,888.50",1.22M,0.00%
1/14/2014,9949.9,"9,949.90","10,011.40","9,888.50",717.38K,0.00%
1/15/2014,9949.9,"9,949.90","9,949.90","9,888.50",1.00M,0.00%
1/16/2014,9827.1,"9,888.50","9,949.90","9,827.10",1.11M,-1.23%
1/17/2014,10011.4,"9,949.90","10,195.60","9,827.10",2.85M,1.88%
1/20/2014,10011.4,"10,011.40","10,134.20","10,011.40",878.91K,0.00%
1/21/2014,10134.2,"10,134.20","10,134.20","10,011.40",567.09K,1.23%
1/22/2014,10257,"10,134.20","10,257.00","10,011.40",1.97M,1.21%
1/23/2014,10502.7,"10,257.00","10,687.00","10,195.60",2.41M,2.40%
1/24/2014,10379.9,"10,625.50","10,625.50","10,318.50",1.26M,-1.17%
1/27/2014,10379.9,"10,379.90","10,502.70","10,318.50",544.57K,0.00%
2/6/2014,10318.5,"10,318.50","10,379.90","10,195.60",956.13K,-0.59%
2/7/2014,10257,"10,257.00","10,379.90","10,195.60",739.88K,-0.60%
2/10/2014,10195.6,"10,195.60","10,318.50","10,134.20",1.47M,-0.60%
2/11/2014,10195.6,"10,257.00","10,379.90","10,134.20",1.86M,0.00%
2/12/2014,10257,"10,257.00","10,318.50","10,195.60",1.14M,0.60%
2/13/2014,10379.9,"10,318.50","10,379.90","10,257.00",1.71M,1.20%
2/14/2014,10379.9,"10,379.90","10,502.70","10,318.50",1.70M,0.00%
2/17/2014,10318.5,"10,379.90","10,379.90","10,257.00",1.05M,-0.59%
2/18/2014,10318.5,"10,318.50","10,379.90","10,195.60",2.26M,0.00%
2/19/2014,10257,"10,318.50","10,379.90","10,195.60",2.06M,-0.60%
2/20/2014,10379.9,"10,257.00","10,687.00","10,257.00",3.50M,1.20%
2/21/2014,10318.5,"10,379.90","10,379.90","10,195.60",678.98K,-0.59%
2/24/2014,10318.5,"10,379.90","10,441.30","10,257.00",686.17K,0.00%
2/25/2014,10257,"10,318.50","10,379.90","10,195.60",1.48M,-0.60%
2/26/2014,10441.3,"10,379.90","10,564.10","10,318.50",3.18M,1.80%
2/27/2014,10625.5,"10,502.70","10,932.60","10,441.30",6.65M,1.76%
2/28/2014,10809.8,"10,625.50","10,809.80","10,625.50",2.76M,1.73%
3/3/2014,10502.7,"10,748.40","10,748.40","10,441.30",1.97M,-2.84%
3/4/2014,10379.9,"10,441.30","10,502.70","10,257.00",1.68M,-1.17%
3/5/2014,10379.9,"10,441.30","10,502.70","10,318.50",915.61K,0.00%
3/6/2014,10379.9,"10,379.90","10,441.30","10,318.50",1.65M,0.00%
3/7/2014,10441.3,"10,379.90","10,502.70","10,318.50",1.61M,0.59%
3/10/2014,10441.3,"10,502.70","10,502.70","10,441.30",1.47M,0.00%
3/11/2014,10441.3,"10,502.70","10,502.70","10,379.90",1.60M,0.00%
3/12/2014,10318.5,"10,441.30","10,441.30","10,318.50",1.34M,-1.18%
3/13/2014,10318.5,"10,318.50","10,379.90","10,257.00",1.04M,0.00%
3/14/2014,10318.5,"10,318.50","10,441.30","10,318.50",1.19M,0.00%
3/17/2014,10379.9,"10,379.90","10,441.30","10,318.50",1.56M,0.60%
3/18/2014,10318.5,"10,379.90","10,441.30","10,318.50",1.58M,-0.59%
3/19/2014,10564.1,"10,379.90","10,625.50","10,379.90",2.07M,2.38%
3/20/2014,10502.7,"10,625.50","10,687.00","10,441.30",1.45M,-0.58%
