Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,28000,"27,350.00","28,000.00","27,250.00",3.48M,2.75%
1/4/2023,28500,"28,000.00","28,900.00","27,900.00",5.78M,1.79%
1/5/2023,28500,"28,500.00","28,750.00","28,250.00",2.11M,0.00%
1/6/2023,28600,"28,500.00","29,250.00","28,050.00",6.74M,0.35%
1/9/2023,29100,"28,700.00","29,100.00","28,700.00",4.25M,1.75%
1/10/2023,28550,"29,200.00","29,200.00","28,550.00",3.06M,-1.89%
1/11/2023,29100,"28,600.00","29,150.00","28,600.00",3.43M,1.93%
1/12/2023,28900,"29,100.00","29,200.00","28,750.00",2.47M,-0.69%
1/13/2023,29100,"29,100.00","29,200.00","28,400.00",2.97M,0.69%
1/16/2023,30000,"29,100.00","30,000.00","28,900.00",5.35M,3.09%
1/17/2023,30600,"30,100.00","30,650.00","30,100.00",3.48M,2.00%
1/18/2023,30750,"30,600.00","30,850.00","30,400.00",3.20M,0.49%
1/19/2023,31100,"30,700.00","31,100.00","30,150.00",5.01M,1.14%
1/27/2023,30350,"31,100.00","31,250.00","30,200.00",3.43M,-2.41%
1/30/2023,29750,"30,000.00","30,150.00","29,700.00",3.74M,-1.98%
1/31/2023,30500,"29,700.00","30,500.00","29,500.00",3.45M,2.52%
2/1/2023,29000,"30,500.00","30,650.00","28,500.00",4.35M,-4.92%
2/2/2023,29200,"29,000.00","29,450.00","28,700.00",3.14M,0.69%
2/3/2023,29050,"29,200.00","29,400.00","29,050.00",3.62M,-0.51%
2/6/2023,29900,"28,800.00","29,900.00","28,550.00",2.63M,2.93%
2/7/2023,29200,"29,800.00","30,200.00","29,150.00",3.25M,-2.34%
2/8/2023,29900,"29,250.00","30,200.00","29,200.00",3.16M,2.40%
2/9/2023,29400,"29,900.00","30,200.00","29,400.00",2.70M,-1.67%
2/10/2023,29100,"29,400.00","29,800.00","29,100.00",2.10M,-1.02%
2/13/2023,29150,"28,850.00","29,300.00","28,800.00",2.13M,0.17%
2/14/2023,28700,"29,300.00","29,400.00","28,700.00",1.75M,-1.54%
2/15/2023,28900,"28,700.00","29,350.00","28,600.00",1.47M,0.70%
2/16/2023,29700,"29,050.00","29,950.00","28,950.00",2.90M,2.77%
2/17/2023,29650,"29,700.00","29,900.00","29,400.00",2.24M,-0.17%
2/20/2023,30450,"29,850.00","30,450.00","29,700.00",4.57M,2.70%
