Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,95900,"96,900.00","96,900.00","95,700.00",1.71M,-0.21%
1/3/2024,96300,"95,600.00","96,500.00","95,400.00",1.44M,0.42%
1/4/2024,97200,"96,300.00","98,400.00","96,200.00",2.97M,0.93%
1/5/2024,97400,"97,300.00","97,500.00","96,500.00",1.14M,0.21%
1/8/2024,97300,"97,400.00","98,300.00","97,100.00",1.44M,-0.10%
1/9/2024,96600,"97,300.00","97,300.00","96,600.00",1.21M,-0.72%
1/10/2024,94700,"96,700.00","96,900.00","94,500.00",3.30M,-1.97%
1/11/2024,95000,"94,700.00","95,400.00","94,700.00",1.37M,0.32%
1/12/2024,94700,"94,800.00","95,600.00","94,100.00",2.60M,-0.32%
1/15/2024,95400,"95,000.00","95,900.00","94,900.00",1.31M,0.74%
1/16/2024,95700,"94,700.00","95,700.00","94,700.00",810.00K,0.31%
1/17/2024,95700,"95,600.00","96,000.00","95,000.00",1.41M,0.00%
1/18/2024,95600,"95,700.00","96,000.00","95,200.00",1.14M,-0.10%
1/19/2024,96300,"96,000.00","96,900.00","95,700.00",1.49M,0.73%
1/22/2024,96400,"96,800.00","96,800.00","95,800.00",1.11M,0.10%
1/23/2024,95600,"96,100.00","96,400.00","95,400.00",1.48M,-0.83%
1/24/2024,95000,"95,800.00","95,800.00","94,900.00",1.72M,-0.63%
1/25/2024,95100,"95,100.00","95,700.00","94,800.00",845.10K,0.11%
1/26/2024,95900,"95,500.00","96,200.00","95,300.00",925.40K,0.84%
1/29/2024,95900,"95,900.00","96,100.00","95,300.00",1.06M,0.00%
1/30/2024,95600,"95,900.00","95,900.00","95,400.00",949.00K,-0.31%
1/31/2024,95700,"95,600.00","96,000.00","95,500.00",1.38M,0.10%
2/1/2024,99900,"95,900.00","99,900.00","95,700.00",7.79M,4.39%
2/2/2024,102000,"100,200.00","102,200.00","100,100.00",2.88M,2.10%
2/5/2024,103500,"102,000.00","104,100.00","101,900.00",2.69M,1.47%
2/6/2024,104100,"103,600.00","105,000.00","102,900.00",1.88M,0.58%
2/7/2024,104900,"104,700.00","105,000.00","103,900.00",2.13M,0.77%
2/15/2024,104000,"105,200.00","105,500.00","103,800.00",2.25M,-0.86%
2/16/2024,105100,"104,000.00","105,100.00","103,800.00",2.07M,1.06%
2/19/2024,105000,"105,500.00","107,000.00","105,000.00",2.03M,-0.10%
2/20/2024,104300,"105,200.00","105,200.00","104,000.00",1.84M,-0.67%
2/21/2024,105900,"104,000.00","106,900.00","103,500.00",3.14M,1.53%
2/22/2024,104600,"105,900.00","106,000.00","104,600.00",1.72M,-1.23%
2/23/2024,103900,"105,500.00","106,700.00","103,300.00",4.10M,-0.67%
2/26/2024,108000,"103,900.00","108,000.00","103,500.00",4.47M,3.95%
2/27/2024,107900,"108,500.00","109,500.00","107,400.00",2.80M,-0.09%
2/28/2024,108500,"108,000.00","108,500.00","106,300.00",3.46M,0.56%
2/29/2024,109000,"108,200.00","109,400.00","107,700.00",2.82M,0.46%
3/1/2024,110800,"109,200.00","111,400.00","109,100.00",4.02M,1.65%
3/4/2024,111400,"111,000.00","111,800.00","110,800.00",3.09M,0.54%
3/5/2024,110700,"111,400.00","111,400.00","109,900.00",3.38M,-0.63%
3/6/2024,109000,"110,000.00","110,400.00","108,700.00",2.51M,-1.54%
3/7/2024,111300,"109,100.00","113,900.00","108,200.00",4.04M,2.11%
3/8/2024,110000,"111,300.00","112,600.00","109,500.00",3.12M,-1.17%
3/11/2024,110000,"110,000.00","113,500.00","110,000.00",3.38M,0.00%
3/12/2024,111900,"110,000.00","113,500.00","110,000.00",2.91M,1.73%
3/13/2024,117000,"112,800.00","117,000.00","112,000.00",5.11M,4.56%
3/14/2024,117000,"118,500.00","118,500.00","115,700.00",3.46M,0.00%
3/15/2024,116000,"116,800.00","116,800.00","114,500.00",3.84M,-0.85%
