Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,66500,"66,500.00","66,500.00","65,500.00",229.95K,0.00%
1/3/2014,66000,"66,500.00","66,500.00","65,500.00",256.97K,-0.75%
1/6/2014,67000,"66,000.00","67,000.00","66,000.00",176.62K,1.52%
1/7/2014,67000,"67,000.00","67,500.00","66,500.00",153.50K,0.00%
1/8/2014,67500,"67,500.00","67,500.00","66,500.00",181.34K,0.75%
1/9/2014,68000,"67,500.00","68,500.00","67,500.00",336.88K,0.74%
1/10/2014,69500,"68,500.00","71,000.00","68,500.00",1.16M,2.21%
1/13/2014,72000,"70,000.00","72,000.00","70,000.00",702.93K,3.60%
1/14/2014,71500,"72,000.00","72,500.00","71,500.00",530.71K,-0.69%
1/15/2014,73500,"71,500.00","73,500.00","71,000.00",1.04M,2.80%
1/16/2014,77000,"74,500.00","77,500.00","74,500.00",1.95M,4.76%
1/17/2014,77000,"77,500.00","79,500.00","77,000.00",1.33M,0.00%
1/20/2014,77500,"77,500.00","79,000.00","76,500.00",571.23K,0.65%
1/21/2014,77000,"77,000.00","78,000.00","75,500.00",411.24K,-0.65%
1/22/2014,75000,"77,500.00","78,500.00","75,000.00",555.21K,-2.60%
1/23/2014,75500,"76,000.00","77,000.00","75,500.00",242.50K,0.67%
1/24/2014,79000,"76,000.00","79,000.00","75,500.00",703.76K,4.64%
1/27/2014,77000,"80,000.00","80,000.00","77,000.00",324.22K,-2.53%
2/6/2014,77000,"77,500.00","78,000.00","76,500.00",281.72K,0.00%
2/7/2014,76000,"78,000.00","78,000.00","76,000.00",228.24K,-1.30%
2/10/2014,76000,"76,500.00","76,500.00","75,500.00",211.43K,0.00%
2/11/2014,76000,"77,000.00","78,000.00","75,500.00",535.92K,0.00%
2/12/2014,79000,"76,500.00","79,000.00","76,500.00",590.29K,3.95%
2/13/2014,82500,"79,500.00","82,500.00","79,500.00",761.60K,4.43%
2/14/2014,83500,"84,000.00","85,000.00","82,500.00",637.25K,1.21%
2/17/2014,82500,"83,500.00","83,500.00","82,500.00",276.29K,-1.20%
2/18/2014,83000,"82,500.00","83,500.00","82,500.00",479.18K,0.61%
2/19/2014,83000,"84,000.00","84,000.00","82,000.00",385.94K,0.00%
2/20/2014,82500,"83,500.00","85,500.00","81,500.00",969.09K,-0.60%
2/21/2014,82500,"83,000.00","83,500.00","82,000.00",259.12K,0.00%
2/24/2014,83000,"82,500.00","83,000.00","82,500.00",197.08K,0.61%
2/25/2014,86000,"83,000.00","86,000.00","83,000.00",895.29K,3.61%
2/26/2014,86000,"87,000.00","87,000.00","84,500.00",298.98K,0.00%
2/27/2014,83000,"85,000.00","85,500.00","83,000.00",394.45K,-3.49%
2/28/2014,83000,"83,500.00","84,500.00","82,500.00",511.39K,0.00%
