Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,105000,"102,000.00","105,000.00","101,900.00",287.80K,3.45%
1/4/2023,105000,"105,500.00","105,500.00","104,000.00",225.00K,0.00%
1/5/2023,106600,"105,000.00","106,700.00","104,500.00",270.10K,1.52%
1/6/2023,104700,"106,500.00","106,900.00","104,600.00",138.80K,-1.78%
1/9/2023,104500,"105,300.00","105,600.00","104,000.00",153.50K,-0.19%
1/10/2023,104600,"104,500.00","104,600.00","103,100.00",256.30K,0.10%
1/11/2023,104200,"104,900.00","105,400.00","104,100.00",108.10K,-0.38%
1/12/2023,105000,"104,200.00","105,200.00","104,200.00",236.80K,0.77%
1/13/2023,104500,"104,600.00","105,500.00","104,400.00",193.10K,-0.48%
1/16/2023,103000,"104,800.00","104,800.00","103,000.00",244.90K,-1.44%
1/17/2023,104200,"103,000.00","104,700.00","102,500.00",290.30K,1.17%
1/18/2023,104300,"104,900.00","105,700.00","104,200.00",151.80K,0.10%
1/19/2023,104500,"104,700.00","104,900.00","103,500.00",249.80K,0.19%
1/27/2023,108200,"105,100.00","110,200.00","105,100.00",535.40K,3.54%
1/30/2023,106600,"109,000.00","109,100.00","106,600.00",267.50K,-1.48%
1/31/2023,106300,"106,600.00","107,500.00","105,600.00",283.70K,-0.28%
2/1/2023,106600,"106,900.00","110,600.00","106,000.00",732.80K,0.28%
2/2/2023,107000,"107,000.00","108,000.00","106,400.00",293.90K,0.38%
2/3/2023,105200,"106,800.00","107,000.00","105,200.00",258.90K,-1.68%
2/6/2023,106000,"105,200.00","107,000.00","104,200.00",242.00K,0.76%
2/7/2023,106300,"106,700.00","107,800.00","105,000.00",287.40K,0.28%
2/8/2023,107300,"106,300.00","108,000.00","106,200.00",273.50K,0.94%
2/9/2023,108100,"107,900.00","108,800.00","107,300.00",314.60K,0.75%
2/10/2023,106100,"108,100.00","108,100.00","106,100.00",202.40K,-1.85%
2/13/2023,105900,"106,100.00","107,800.00","105,300.00",201.40K,-0.19%
2/14/2023,105600,"106,300.00","107,000.00","105,600.00",108.20K,-0.28%
2/15/2023,107100,"106,000.00","107,500.00","105,700.00",181.70K,1.42%
2/16/2023,107900,"106,400.00","108,900.00","106,400.00",261.10K,0.75%
2/17/2023,107200,"107,500.00","107,900.00","106,700.00",186.30K,-0.65%
2/20/2023,109000,"107,300.00","109,000.00","107,300.00",200.10K,1.68%
2/21/2023,108300,"108,500.00","109,500.00","108,300.00",216.20K,-0.64%
2/22/2023,107000,"107,500.00","110,000.00","106,900.00",240.70K,-1.20%
2/23/2023,105800,"107,600.00","107,600.00","104,800.00",174.70K,-1.12%
2/24/2023,106500,"106,000.00","107,500.00","105,000.00",127.40K,0.66%
2/27/2023,104000,"106,500.00","106,500.00","103,000.00",245.20K,-2.35%
2/28/2023,103500,"105,000.00","105,400.00","103,400.00",73.50K,-0.48%
3/1/2023,105100,"103,200.00","105,900.00","103,200.00",113.00K,1.55%
3/2/2023,105000,"105,000.00","105,800.00","104,600.00",115.10K,-0.10%
3/3/2023,104500,"105,900.00","105,900.00","102,800.00",184.40K,-0.48%
3/6/2023,103700,"105,000.00","105,500.00","103,600.00",91.90K,-0.77%
3/7/2023,104500,"104,900.00","105,500.00","103,900.00",203.70K,0.77%
3/8/2023,105900,"103,800.00","105,900.00","103,700.00",147.80K,1.34%
3/9/2023,106800,"105,300.00","107,900.00","105,300.00",190.60K,0.85%
3/10/2023,107000,"106,300.00","107,300.00","105,500.00",229.40K,0.19%
