Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,2996,"3,025.20","3,025.20","2,988.70",3.37M,0.00%
1/3/2014,3032.5,"3,003.30","3,032.50","2,988.70",5.81M,1.22%
1/6/2014,3083.5,"3,061.60","3,090.80","3,025.20",5.52M,1.68%
1/7/2014,3076.2,"3,098.10","3,119.90","3,076.20",3.44M,-0.24%
1/8/2014,3098.1,"3,061.60","3,105.40","3,061.60",4.36M,0.71%
1/9/2014,3149.1,"3,098.10","3,149.10","3,098.10",7.32M,1.65%
1/10/2014,3141.8,"3,149.10","3,207.40","3,141.80",3.61M,-0.23%
1/13/2014,3156.4,"3,156.40","3,171.00","3,149.10",1.97M,0.46%
1/14/2014,3280.3,"3,156.40","3,294.90","3,141.80",10.37M,3.93%
1/15/2014,3353.2,"3,280.30","3,367.80","3,280.30",6.22M,2.22%
1/16/2014,3462.5,"3,389.70","3,462.50","3,367.80",7.81M,3.26%
1/17/2014,3681.2,"3,499.00","3,681.20","3,491.70",16.22M,6.32%
1/20/2014,3790.6,"3,754.10","3,936.40","3,717.70",14.25M,2.97%
1/21/2014,3936.4,"3,827.00","3,936.40","3,637.50",8.57M,3.85%
1/22/2014,3681.2,"3,863.50","3,863.50","3,681.20",9.63M,-6.48%
1/23/2014,3440.7,"3,499.00","3,564.60","3,440.70",10.11M,-6.53%
1/24/2014,3382.4,"3,440.70","3,440.70","3,353.20",11.93M,-1.69%
1/27/2014,3324,"3,360.50","3,382.40","3,287.60",8.46M,-1.73%
2/6/2014,3528.2,"3,287.60","3,550.00","3,287.60",7.81M,6.14%
2/7/2014,3477.1,"3,571.90","3,571.90","3,455.30",9.51M,-1.45%
2/10/2014,3484.4,"3,484.40","3,520.90","3,448.00",4.94M,0.21%
2/11/2014,3469.8,"3,499.00","3,630.20","3,469.80",9.88M,-0.42%
2/12/2014,3564.6,"3,491.70","3,586.50","3,477.10",6.81M,2.73%
2/13/2014,3586.5,"3,564.60","3,601.10","3,557.30",4.82M,0.61%
2/14/2014,3542.7,"3,586.50","3,593.80","3,520.90",3.54M,-1.22%
2/17/2014,3499,"3,535.40","3,535.40","3,491.70",5.65M,-1.23%
2/18/2014,3535.4,"3,499.00","3,550.00","3,484.40",4.46M,1.04%
2/19/2014,3520.9,"3,557.30","3,571.90","3,513.60",3.57M,-0.41%
2/20/2014,3418.8,"3,520.90","3,520.90","3,389.70",7.07M,-2.90%
2/21/2014,3462.5,"3,455.30","3,499.00","3,353.20",3.87M,1.28%
2/24/2014,3542.7,"3,462.50","3,557.30","3,462.50",5.49M,2.32%
2/25/2014,3790.6,"3,550.00","3,790.60","3,542.70",15.94M,7.00%
2/26/2014,3717.7,"3,790.60","3,790.60","3,681.20",5.42M,-1.92%
2/27/2014,3608.3,"3,681.20","3,754.10","3,571.90",5.36M,-2.94%
2/28/2014,3528.2,"3,608.30","3,608.30","3,528.20",14.13M,-2.22%
3/3/2014,3535.4,"3,535.40","3,586.50","3,535.40",5.24M,0.20%
3/4/2014,3484.4,"3,462.50","3,528.20","3,462.50",5.80M,-1.44%
3/5/2014,3528.2,"3,571.90","3,571.90","3,528.20",4.63M,1.26%
3/6/2014,3571.9,"3,542.70","3,586.50","3,535.40",5.23M,1.24%
3/7/2014,3542.7,"3,601.10","3,601.10","3,542.70",2.44M,-0.82%
3/10/2014,3557.3,"3,557.30","3,571.90","3,535.40",3.01M,0.41%
3/11/2014,3637.5,"3,564.60","3,644.80","3,550.00",7.06M,2.25%
3/12/2014,3754.1,"3,644.80","3,863.50","3,644.80",12.79M,3.21%
3/13/2014,3717.7,"3,754.10","3,790.60","3,681.20",3.88M,-0.97%
3/14/2014,3644.8,"3,717.70","3,717.70","3,644.80",6.44M,-1.96%
3/17/2014,3571.9,"3,513.60","3,579.20","3,513.60",9.19M,-2.00%
3/18/2014,3637.5,"3,608.30","3,644.80","3,571.90",12.15M,1.84%
3/19/2014,3827,"3,622.90","3,827.00","3,622.90",22.48M,5.21%
3/20/2014,3790.6,"3,827.00","3,827.00","3,754.10",13.25M,-0.95%
3/21/2014,3790.6,"3,754.10","3,863.50","3,754.10",49.86M,0.00%
3/24/2014,3863.5,"3,863.50","3,899.90","3,827.00",19.18M,1.92%
3/25/2014,3754.1,"3,863.50","3,863.50","3,717.70",17.09M,-2.83%
3/26/2014,3754.1,"3,754.10","3,827.00","3,681.20",16.73M,0.00%
3/27/2014,3827,"3,717.70","3,827.00","3,681.20",10.35M,1.94%
3/28/2014,3863.5,"3,790.60","3,972.80","3,790.60",22.08M,0.95%
3/31/2014,3863.5,"3,899.90","3,899.90","3,790.60",11.40M,0.00%
4/1/2014,3790.6,"3,863.50","3,863.50","3,754.10",6.72M,-1.89%
4/2/2014,3790.6,"3,790.60","3,827.00","3,717.70",11.73M,0.00%
