Date,Price,Open,High,Low,Vol.,Change %
1/3/2023,19250,"18,300.00","19,250.00","18,200.00",27.99M,6.94%
1/4/2023,19400,"19,450.00","19,800.00","19,300.00",20.23M,0.78%
1/5/2023,19800,"19,400.00","20,000.00","19,150.00",21.50M,2.06%
1/6/2023,19400,"19,700.00","20,100.00","19,200.00",19.63M,-2.02%
1/9/2023,19600,"19,800.00","20,100.00","19,500.00",16.19M,1.03%
1/10/2023,19800,"19,600.00","20,100.00","19,200.00",26.85M,1.02%
1/11/2023,20200,"20,000.00","20,550.00","19,900.00",25.71M,2.02%
1/12/2023,20050,"20,100.00","20,250.00","19,900.00",20.17M,-0.74%
1/13/2023,19950,"20,250.00","20,350.00","19,900.00",19.17M,-0.50%
1/16/2023,20250,"20,000.00","20,650.00","19,950.00",22.32M,1.50%
1/17/2023,21650,"20,450.00","21,650.00","20,450.00",41.58M,6.91%
1/18/2023,21700,"22,000.00","22,050.00","21,550.00",25.85M,0.23%
1/19/2023,21150,"21,600.00","21,850.00","20,850.00",43.94M,-2.53%
1/27/2023,21500,"21,000.00","21,550.00","20,850.00",26.52M,1.65%
1/30/2023,21750,"21,700.00","22,200.00","21,350.00",42.34M,1.16%
1/31/2023,22100,"21,900.00","22,100.00","21,700.00",28.11M,1.61%
2/1/2023,21100,"22,200.00","22,650.00","21,000.00",51.91M,-4.52%
2/2/2023,21300,"21,200.00","21,700.00","21,100.00",25.39M,0.95%
2/3/2023,21100,"21,450.00","21,550.00","21,000.00",20.96M,-0.94%
2/6/2023,21150,"21,100.00","21,150.00","20,550.00",22.28M,0.24%
2/7/2023,19750,"21,150.00","21,200.00","19,700.00",43.38M,-6.62%
2/8/2023,20850,"19,750.00","21,100.00","19,750.00",33.81M,5.57%
2/9/2023,20600,"21,000.00","21,250.00","20,600.00",16.34M,-1.20%
2/10/2023,20500,"20,700.00","20,800.00","20,150.00",15.83M,-0.49%
2/13/2023,20200,"20,400.00","20,400.00","19,750.00",18.74M,-1.46%
2/14/2023,20600,"20,300.00","20,900.00","20,250.00",17.29M,1.98%
2/15/2023,20800,"20,600.00","21,050.00","20,250.00",20.08M,0.97%
2/16/2023,21300,"20,950.00","21,400.00","20,600.00",23.91M,2.40%
2/17/2023,21000,"21,300.00","21,350.00","21,000.00",12.29M,-1.41%
2/20/2023,21900,"21,000.00","21,900.00","21,000.00",24.74M,4.29%
2/21/2023,21600,"22,050.00","22,300.00","21,600.00",20.64M,-1.37%
