Date,Price,Open,High,Low,Vol.,Change %
1/2/2014,11753,"11,841","11,841","11,709",661.45K,-0.37%
1/3/2014,11973,"11,753","12,017","11,753",1.61M,1.87%
1/6/2014,11929,"12,017","12,061","11,885",744.63K,-0.37%
1/7/2014,12194,"12,105","12,282","12,061",4.70M,2.22%
1/8/2014,12370,"12,238","12,370","12,149",2.92M,1.44%
1/9/2014,12458,"12,370","12,502","12,326",1.38M,0.71%
1/10/2014,12238,"12,458","12,502","12,238",1.69M,-1.77%
1/13/2014,12105,"12,238","12,238","11,929",3.35M,-1.09%
1/14/2014,12194,"12,105","12,238","12,061",1.95M,0.74%
1/15/2014,12194,"12,238","12,282","12,105",1.44M,0.00%
1/16/2014,12194,"12,194","12,282","12,105",2.70M,0.00%
1/17/2014,12502,"12,282","12,678","12,282",5.24M,2.53%
1/20/2014,12854,"12,590","13,162","12,546",5.72M,2.82%
1/21/2014,13030,"12,942","13,030","12,546",3.76M,1.37%
1/22/2014,12854,"13,074","13,074","12,810",2.95M,-1.35%
1/23/2014,12898,"12,854","12,986","12,766",2.02M,0.34%
1/24/2014,12722,"12,898","12,898","12,634",2.28M,-1.36%
1/27/2014,12546,"12,722","12,722","12,546",1.47M,-1.38%
2/6/2014,12282,"12,546","12,546","12,238",2.44M,-2.10%
2/7/2014,12238,"12,326","12,414","12,194",1.37M,-0.36%
2/10/2014,12458,"12,282","12,458","12,194",968.23K,1.80%
2/11/2014,12458,"12,502","12,590","12,414",1.89M,0.00%
2/12/2014,12766,"12,458","12,766","12,458",2.26M,2.47%
2/13/2014,12722,"12,854","12,942","12,722",1.83M,-0.34%
2/14/2014,12766,"12,722","12,854","12,722",1.27M,0.35%
2/17/2014,12678,"12,766","12,810","12,590",1.39M,-0.69%
2/18/2014,12766,"12,634","12,766","12,634",1.36M,0.69%
2/19/2014,12810,"12,810","12,854","12,722",1.61M,0.34%
2/20/2014,12810,"12,854","13,074","12,678",2.47M,0.00%
2/21/2014,12766,"12,854","12,854","12,722",969.83K,-0.34%
2/24/2014,12810,"12,810","12,854","12,722",852.06K,0.34%
2/25/2014,12942,"12,810","12,942","12,810",2.34M,1.03%
2/26/2014,13338,"13,118","13,426","13,118",3.35M,3.06%
2/27/2014,13426,"13,338","13,646","13,338",3.18M,0.66%
2/28/2014,13470,"13,426","13,822","13,206",2.62M,0.33%
3/3/2014,13118,"13,646","13,646","13,118",2.37M,-2.61%
3/4/2014,13118,"12,942","13,294","12,854",1.97M,0.00%
3/5/2014,13206,"13,118","13,338","13,118",1.34M,0.67%
3/6/2014,13206,"13,206","13,250","13,118",1.10M,0.00%
3/7/2014,13162,"13,206","13,294","13,162",1.51M,-0.33%
3/10/2014,13558,"13,162","13,646","13,162",1.77M,3.01%
3/11/2014,13690,"13,558","13,822","13,558",2.85M,0.97%
3/12/2014,13470,"13,646","13,778","13,470",2.14M,-1.61%
3/13/2014,13734,"13,470","13,734","13,470",1.58M,1.96%
3/14/2014,13778,"13,822","13,822","13,558",1.63M,0.32%
3/17/2014,13558,"13,602","13,646","13,470",1.80M,-1.60%
3/18/2014,13426,"13,558","13,558","13,382",1.14M,-0.97%
3/19/2014,13602,"13,426","13,646","13,426",1.59M,1.31%
3/20/2014,13514,"13,602","13,646","13,470",1.37M,-0.65%
3/21/2014,13690,"13,558","13,998","13,514",6.68M,1.30%
3/24/2014,13998,"13,910","14,086","13,866",2.64M,2.25%
3/25/2014,13954,"14,042","14,130","13,822",2.47M,-0.31%
3/26/2014,13382,"13,910","13,954","13,294",2.96M,-4.10%
3/27/2014,13382,"13,382","13,514","13,250",2.47M,0.00%
3/28/2014,13558,"13,382","13,690","13,382",1.94M,1.32%
3/31/2014,13558,"13,558","13,822","13,470",2.13M,0.00%
4/1/2014,13690,"13,602","13,954","13,382",3.06M,0.97%
4/2/2014,13734,"13,690","13,866","13,470",1.49M,0.32%
4/3/2014,13778,"13,822","13,866","13,690",1.23M,0.32%
4/4/2014,13778,"13,866","13,866","13,734",702.84K,0.00%
4/7/2014,13822,"13,690","13,910","13,690",998.99K,0.32%
4/8/2014,13866,"13,778","13,866","13,778",1.53M,0.32%
4/10/2014,13734,"13,910","13,954","13,734",1.73M,-0.95%
4/11/2014,13646,"13,734","13,734","13,602",1.30M,-0.64%
4/14/2014,13514,"13,646","13,646","13,470",1.31M,-0.97%
4/15/2014,13206,"13,558","13,558","13,162",1.87M,-2.28%
4/16/2014,12942,"13,206","13,294","12,326",1.58M,-2.00%
4/17/2014,12942,"13,118","13,118","12,898",2.11M,0.00%
4/18/2014,12722,"13,118","13,118","12,722",1.33M,-1.70%
4/21/2014,12546,"12,546","12,898","12,546",1.10M,-1.38%
4/22/2014,12766,"12,546","12,898","12,546",901.71K,1.75%
4/23/2014,12766,"12,854","13,074","12,722",2.43M,0.00%
4/24/2014,12766,"12,766","12,810","12,678",982.29K,0.00%
4/25/2014,12766,"12,766","12,810","12,634",1.23M,0.00%
4/28/2014,12546,"12,546","12,766","12,502",1.67M,-1.72%
4/29/2014,12678,"12,678","12,722","12,502",334.19K,1.05%
5/5/2014,11929,"12,546","12,678","11,885",1.21M,-5.91%
5/6/2014,11665,"11,885","11,973","11,401",1.13M,-2.21%
5/7/2014,11753,"11,885","11,885","11,621",619.32K,0.75%
5/8/2014,10961,"11,665","11,665","10,961",3.51M,-6.74%
5/9/2014,11181,"10,609","11,225","10,609",1.80M,2.01%
5/12/2014,10477,"11,005","11,181","10,433",2.34M,-6.30%
