Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,83500,"82,900","83,600","82,200",1.79M,3.99%
1/3/2024,84500,"83,500","84,500","82,800",1.37M,1.20%
1/4/2024,85900,"84,500","86,200","84,000",2.66M,1.66%
1/5/2024,86200,"85,900","86,200","85,700",1.18M,0.35%
1/8/2024,86800,"86,300","86,800","86,300",1.61M,0.70%
1/9/2024,87800,"86,800","87,900","86,800",1.93M,1.15%
1/10/2024,89500,"87,800","89,500","87,200",1.80M,1.94%
1/11/2024,89300,"89,500","90,000","88,600",1.49M,-0.22%
1/12/2024,88700,"88,100","89,500","87,400",1.91M,-0.67%
1/15/2024,90000,"89,000","90,100","88,900",1.91M,1.47%
1/16/2024,90000,"89,000","90,100","88,900",1.37M,0.00%
1/17/2024,90900,"89,000","91,000","89,000",1.58M,1.00%
1/18/2024,91100,"90,900","91,200","90,000",1.42M,0.22%
1/19/2024,92600,"91,000","93,000","90,400",1.47M,1.65%
1/22/2024,92000,"93,500","93,500","92,000",1.05M,-0.65%
1/23/2024,91500,"92,100","92,400","90,400",1.26M,-0.54%
1/24/2024,91100,"91,600","92,000","90,900",744.70K,-0.44%
1/25/2024,91000,"91,100","91,600","90,700",503.30K,-0.11%
1/26/2024,92000,"91,600","92,000","91,400",953.10K,1.10%
1/29/2024,91200,"91,800","92,000","90,900",730.50K,-0.87%
1/30/2024,91000,"91,200","91,200","90,100",888.60K,-0.22%
1/31/2024,88500,"90,600","90,600","88,500",945.60K,-2.75%
2/1/2024,89800,"88,000","90,200","88,000",598.10K,1.47%
2/2/2024,90300,"89,100","90,500","89,100",733.00K,0.56%
2/5/2024,90000,"90,200","90,600","89,400",1.95M,-0.33%
2/6/2024,89500,"90,300","90,600","89,100",1.35M,-0.56%
2/7/2024,90000,"90,000","90,800","89,300",1.37M,0.56%
2/15/2024,89900,"90,000","90,700","89,100",1.05M,-0.11%
2/16/2024,89600,"89,900","90,200","89,500",734.10K,-0.33%
2/19/2024,90200,"89,900","90,500","89,300",1.05M,0.67%
2/20/2024,91300,"90,100","91,400","89,400",1.40M,1.22%
2/21/2024,91200,"91,700","91,700","90,500",1.37M,-0.11%
2/22/2024,89500,"90,600","91,000","89,500",1.22M,-1.86%
2/23/2024,89600,"89,500","91,400","88,900",1.80M,0.11%
2/26/2024,89500,"88,900","90,000","88,900",722.00K,-0.11%
2/27/2024,91100,"89,600","91,200","89,100",1.60M,1.79%
2/28/2024,97400,"91,000","97,400","90,400",4.22M,6.92%
2/29/2024,97300,"98,500","100,500","97,300",1.90M,-0.10%
3/1/2024,97300,"98,200","98,200","94,900",2.38M,0.00%
3/4/2024,96000,"98,000","98,000","95,600",1.64M,-1.34%
3/5/2024,95500,"96,600","96,600","95,200",1.36M,-0.52%
3/6/2024,96000,"95,500","96,800","95,400",1.32M,0.52%
3/7/2024,95800,"95,900","97,400","95,500",2.36M,-0.21%
3/8/2024,95100,"95,900","96,500","95,100",2.23M,-0.73%
3/11/2024,94100,"95,100","96,000","94,100",1.84M,-1.05%
3/12/2024,94400,"94,100","94,900","94,000",1.11M,0.32%
3/13/2024,96000,"94,900","96,500","94,300",3.12M,1.69%
3/14/2024,95000,"96,000","96,100","94,600",2.32M,-1.04%
3/15/2024,94000,"95,000","95,000","93,900",2.30M,-1.05%
