Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,43000,"43,300","43,750","42,550",7.59M,-0.46%
1/3/2024,43400,"42,600","43,400","42,550",6.11M,0.93%
1/4/2024,43450,"43,550","43,700","43,250",8.78M,0.12%
1/5/2024,43100,"43,450","43,550","43,050",4.51M,-0.81%
1/8/2024,43350,"43,200","43,850","42,900",6.21M,0.58%
1/9/2024,43000,"43,150","43,300","42,650",6.38M,-0.81%
1/10/2024,42700,"43,000","43,000","42,100",6.79M,-0.70%
1/11/2024,42000,"42,500","43,050","42,000",6.97M,-1.64%
1/12/2024,41300,"41,800","41,900","40,900",8.33M,-1.67%
1/15/2024,41600,"41,800","41,850","41,400",3.15M,0.73%
1/16/2024,42650,"41,600","42,650","41,450",3.77M,2.52%
1/17/2024,41900,"42,650","42,850","41,900",6.34M,-1.76%
1/18/2024,43200,"42,250","43,500","42,050",8.94M,3.10%
1/19/2024,43050,"43,350","43,600","43,000",5.53M,-0.35%
1/22/2024,43000,"43,350","43,450","42,800",4.71M,-0.12%
1/23/2024,42350,"43,050","43,200","42,300",5.26M,-1.51%
1/24/2024,42500,"42,350","42,950","42,300",2.74M,0.35%
1/25/2024,42100,"42,500","42,500","42,050",2.30M,-0.94%
1/26/2024,42000,"42,200","42,500","42,000",4.35M,-0.24%
1/29/2024,41800,"42,300","42,300","41,800",3.17M,-0.48%
1/30/2024,42000,"41,800","42,300","41,700",2.91M,0.48%
1/31/2024,41500,"42,050","42,250","41,500",6.31M,-1.19%
2/1/2024,41200,"41,350","41,500","41,100",7.11M,-0.72%
2/2/2024,41200,"41,500","42,100","41,150",5.78M,0.00%
2/5/2024,41250,"41,400","41,600","41,100",3.36M,0.12%
2/6/2024,41000,"41,400","41,450","41,000",5.54M,-0.61%
2/7/2024,41800,"41,050","41,850","41,000",3.77M,1.95%
2/15/2024,41950,"42,150","42,200","41,800",4.32M,0.36%
2/16/2024,42700,"42,150","42,800","41,950",6.02M,1.79%
2/19/2024,45550,"43,000","45,650","42,900",20.16M,6.67%
2/20/2024,46150,"46,000","46,700","45,850",12.93M,1.32%
2/21/2024,45000,"46,100","46,100","44,800",8.95M,-2.49%
2/22/2024,44800,"45,100","45,450","44,800",6.81M,-0.44%
2/23/2024,43450,"45,000","45,100","43,250",11.75M,-3.01%
2/26/2024,43350,"43,450","43,850","43,100",7.00M,-0.23%
2/27/2024,44200,"43,750","44,200","43,300",7.16M,1.96%
2/28/2024,44400,"44,450","44,900","44,000",6.28M,0.45%
2/29/2024,43400,"44,550","44,700","43,400",11.04M,-2.25%
3/1/2024,43950,"43,700","44,200","43,300",6.87M,1.27%
3/4/2024,43950,"44,050","44,600","43,800",7.04M,0.00%
3/5/2024,43650,"43,950","44,250","43,300",7.69M,-0.68%
3/6/2024,43500,"43,650","44,550","43,450",7.60M,-0.34%
3/7/2024,43200,"43,300","43,300","42,850",7.31M,-0.69%
3/8/2024,42550,"43,500","43,600","42,550",9.53M,-1.50%
3/11/2024,42550,"42,600","43,000","42,500",6.06M,0.00%
3/12/2024,42700,"42,550","42,900","42,350",4.76M,0.35%
3/13/2024,42950,"42,800","43,000","42,500",7.33M,0.59%
3/14/2024,42900,"43,400","43,800","42,800",12.61M,-0.12%
3/15/2024,42400,"42,900","43,150","42,400",9.89M,-1.17%
