Date,Price,Open,High,Low,Vol.,Change %
1/2/2024,44000,"44,950","44,950","44,000",2.28M,-1.35%
1/3/2024,44150,"43,500","44,150","43,500",2.28M,0.34%
1/4/2024,44150,"44,150","44,400","43,800",2.34M,0.00%
1/5/2024,44100,"44,150","44,200","43,900",1.48M,-0.11%
1/8/2024,44350,"44,450","44,750","44,100",2.53M,0.57%
1/9/2024,43900,"44,300","44,400","43,900",1.60M,-1.01%
1/10/2024,43600,"43,900","44,050","43,200",2.68M,-0.68%
1/11/2024,43650,"43,600","44,000","43,400",1.67M,0.11%
1/12/2024,43000,"43,500","43,500","42,700",2.97M,-1.49%
1/15/2024,43050,"43,500","43,500","43,050",1.46M,0.12%
1/16/2024,43150,"43,000","43,250","42,850",1.44M,0.23%
1/17/2024,43200,"43,150","43,450","42,950",1.88M,0.12%
1/18/2024,43350,"43,000","43,500","43,000",1.73M,0.35%
1/19/2024,43300,"43,350","43,450","43,150",2.91M,-0.12%
1/22/2024,43300,"43,500","43,500","43,150",1.69M,0.00%
1/23/2024,43100,"43,400","43,400","42,900",2.21M,-0.46%
1/24/2024,43150,"43,200","43,250","42,900",1.69M,0.12%
1/25/2024,42800,"43,100","43,100","42,800",1.16M,-0.81%
1/26/2024,42800,"42,700","43,000","42,650",1.81M,0.00%
1/29/2024,42650,"42,800","42,850","42,400",1.82M,-0.35%
1/30/2024,42700,"42,650","42,800","42,500",1.33M,0.12%
1/31/2024,42500,"42,700","42,800","42,100",2.74M,-0.47%
2/1/2024,42350,"42,450","42,500","42,050",2.20M,-0.35%
2/2/2024,42100,"42,350","42,500","42,050",1.98M,-0.59%
2/5/2024,42200,"42,200","42,200","41,800",2.69M,0.24%
2/6/2024,42300,"42,250","42,350","41,900",1.59M,0.24%
2/7/2024,42400,"42,300","42,400","42,000",1.60M,0.24%
2/15/2024,42550,"42,500","42,800","42,200",1.93M,0.35%
2/16/2024,43950,"42,550","44,150","42,500",4.99M,3.29%
2/19/2024,47000,"44,300","47,000","44,300",16.64M,6.94%
2/20/2024,48500,"48,000","49,350","47,900",8.97M,3.19%
2/21/2024,47250,"48,550","48,550","47,100",6.65M,-2.58%
2/22/2024,47600,"47,250","47,700","47,000",4.02M,0.74%
2/23/2024,45450,"47,950","47,950","45,200",9.88M,-4.52%
2/26/2024,44600,"45,350","45,750","44,300",5.09M,-1.87%
2/27/2024,45150,"44,800","45,650","44,350",4.37M,1.23%
2/28/2024,45600,"45,900","46,400","45,250",3.37M,1.00%
2/29/2024,45000,"46,000","46,150","45,000",4.02M,-1.32%
3/1/2024,45250,"45,000","45,600","44,850",2.98M,0.56%
3/4/2024,45250,"45,300","45,750","45,150",3.74M,0.00%
3/5/2024,45300,"45,200","45,500","45,000",3.15M,0.11%
3/6/2024,45600,"45,300","46,850","45,200",3.71M,0.66%
3/7/2024,45600,"45,600","45,850","45,350",2.47M,0.00%
3/8/2024,44800,"46,000","46,000","44,800",3.90M,-1.75%
3/11/2024,44350,"44,900","45,250","44,350",3.45M,-1.00%
3/12/2024,44150,"44,350","44,600","44,050",2.84M,-0.45%
3/13/2024,45000,"44,250","45,000","44,100",2.24M,1.93%
3/14/2024,45950,"45,200","46,850","45,000",6.02M,2.11%
3/15/2024,44400,"45,900","46,000","44,400",4.81M,-3.37%
