date,actual,position,action
2023-01-03,80000,80000,HOLD
2023-01-04,80000,80000,Buy
2023-01-05,80600,80000,SELL
2023-01-06,80300,80600,HOLD
2023-01-09,80300,80300,Buy
2023-01-10,80400,80300,SELL
2023-01-11,80900,80400,HOLD
2023-01-12,80700,80900,HOLD
2023-01-13,80000,80700,Buy
2023-01-16,80800,80000,SELL
2023-01-17,82000,80800,HOLD
2023-01-18,83400,82000,HOLD
2023-01-19,83900,83400,HOLD
2023-01-27,84000,83900,HOLD
2023-01-30,83700,84000,HOLD
2023-01-31,83500,83700,HOLD
2023-02-01,82000,83500,HOLD
2023-02-02,81900,82000,Buy
2023-02-03,80100,81900,Buy
2023-02-06,80500,80100,Buy
2023-02-07,80700,80500,HOLD
2023-02-08,81200,80700,SELL
2023-02-09,80700,81200,HOLD
2023-02-10,80700,80700,HOLD
2023-02-13,80700,80700,HOLD
2023-02-14,80800,80700,HOLD
2023-02-15,81600,80800,HOLD
2023-02-16,81600,81600,HOLD
2023-02-17,81600,81600,HOLD
2023-02-20,82800,81600,HOLD
2023-02-21,82800,82800,HOLD
2023-02-22,81800,82800,HOLD
2023-02-23,81400,81800,HOLD
2023-02-24,80800,81400,Buy
2023-02-27,80300,80800,HOLD
2023-02-28,80500,80300,Buy
2023-03-01,80500,80500,HOLD
2023-03-02,80000,80500,SELL
2023-03-03,78500,80000,HOLD
2023-03-06,78200,78500,Buy
2023-03-07,78800,78200,Buy
2023-03-08,79500,78800,SELL
2023-03-09,80600,79500,HOLD
2023-03-10,79500,80600,HOLD
2023-03-13,78900,79500,HOLD
2023-03-14,78700,78900,HOLD
2023-03-15,80500,78700,HOLD
2023-03-16,79200,80500,HOLD
2023-03-17,79000,79200,Buy
2023-03-20,77600,79000,HOLD
2023-03-21,78100,77600,HOLD
2023-03-22,78500,78100,HOLD
2023-03-23,78000,78500,SELL
2023-03-24,78600,78000,HOLD
2023-03-27,79100,78600,HOLD
2023-03-28,79200,79100,HOLD
2023-03-29,79000,79200,HOLD
2023-03-30,79100,79000,Buy
2023-03-31,79100,79100,SELL
2023-04-03,80900,79100,HOLD
2023-04-04,80500,80900,HOLD
2023-04-05,80600,80500,HOLD
2023-04-06,80300,80600,HOLD
2023-04-07,80500,80300,Buy
2023-04-10,80300,80500,SELL
2023-04-11,80300,80300,Buy
2023-04-12,80300,80300,HOLD
2023-04-13,79600,80300,SELL
2023-04-14,79600,79600,HOLD
2023-04-17,79600,79600,Buy
2023-04-18,79400,79600,SELL
2023-04-19,79300,79400,HOLD
2023-04-20,79400,79300,HOLD
2023-04-21,79300,79400,HOLD
2023-04-24,79100,79300,Buy
2023-04-25,78400,79100,HOLD
2023-04-26,78300,78400,HOLD
2023-04-27,78300,78300,Buy
2023-04-28,77500,78300,HOLD
2023-05-04,78500,77500,HOLD
2023-05-05,78400,78500,SELL
2023-05-08,78500,78400,Buy
2023-05-09,78900,78500,HOLD
2023-05-10,79000,78900,SELL
2023-05-11,79100,79000,HOLD
2023-05-12,80500,79100,HOLD
2023-05-15,81000,80500,HOLD
2023-05-16,81500,81000,HOLD
2023-05-17,81500,81500,HOLD
2023-05-18,82900,81500,HOLD
2023-05-19,82800,82900,HOLD
2023-05-22,82500,82800,Buy
2023-05-23,82000,82500,HOLD
2023-05-24,81300,82000,HOLD
2023-05-25,83200,81300,HOLD
2023-05-26,83100,83200,HOLD
